bathrooms,bedrooms2,date_posted,builder2,project,floor,furnish_status,price2,property_type2,user_type2,prop_id
2,2,20210917.0,,,2,Unfurnished,11000.0,Residential House,Owner,domcache_srp_57014983
3,3,20210915.0,Rajapushpa Properties Pvt. Ltd.,Rajapushpa Regalia,16,Semi-Furnished,58000.0,Apartment,Owner,domcache_srp_56037127
2,2,20210915.0,,,1,Unfurnished,12500.0,Residential House,Owner,domcache_srp_56602927
1,2,20210913.0,,,2,Unfurnished,15000.0,Apartment,Owner,domcache_srp_52479811
2,2,20210918.0,,,2,Semi-Furnished,15000.0,Apartment,Owner,domcache_srp_49299421
1,2,20210918.0,,,3,Semi-Furnished,11500.0,Builder Floor Apartment,Owner,domcache_srp_49911680
3,3,20210918.0,,,4,Semi-Furnished,12000.0,Apartment,Owner,domcache_srp_10082727
3,3,20210919.0,,,12,Unfurnished,30000.0,Apartment,Owner,domcache_srp_38657121
2,2,20210919.0,,,Ground,Semi-Furnished,16000.0,Residential House,Owner,domcache_srp_56752261
2,2,20210918.0,,,3,Unfurnished,10500.0,Apartment,Owner,domcache_srp_50348652
2,3,20210915.0,,,3,Semi-Furnished,18000.0,Apartment,Owner,domcache_srp_51980659
3,3,20210915.0,,,5,Semi-Furnished,18000.0,Apartment,Owner,domcache_srp_56480251
3,3,20210916.0,Indis,PBEL City,14,Furnished,36000.0,Apartment,Owner,domcache_srp_56474007
2,2,20210919.0,,,2,Unfurnished,14000.0,Apartment,Owner,domcache_srp_57062773
3,3,20210915.0,,,2,Semi-Furnished,25000.0,Apartment,Owner,domcache_srp_54966921
2,2,20210915.0,,Bhanu Eternity,5,Unfurnished,18000.0,Apartment,Owner,domcache_srp_56197667
3,3,20210914.0,,,6,Unfurnished,20000.0,Apartment,Owner,domcache_srp_56141635
4,3,20210919.0,,,4,Furnished,50000.0,Apartment,Owner,domcache_srp_56451319
3,3,20210915.0,,,3,Semi-Furnished,18000.0,Apartment,Owner,domcache_srp_52937755
2,2,20210918.0,,,1,Unfurnished,12000.0,Residential House,Owner,domcache_srp_45828791
2,2,20210917.0,,,2,Semi-Furnished,25000.0,Apartment,Owner,domcache_srp_55317533
3,3,20210919.0,,Creative Surya Towers,2,Unfurnished,25000.0,Apartment,Owner,domcache_srp_54863089
3,3,20210919.0,,Silpa Park,4,Semi-Furnished,25000.0,Apartment,Owner,domcache_srp_48649339
3,3,20210915.0,,,1,Semi-Furnished,25000.0,Apartment,Owner,domcache_srp_55984883
2,3,20210917.0,,,1,Semi-Furnished,25000.0,Apartment,Owner,domcache_srp_55749491
2,2,20210917.0,,,Ground,Unfurnished,17000.0,Apartment,Owner,domcache_srp_56991281
2,2,20210913.0,,,2,Unfurnished,14000.0,Residential House,Owner,domcache_srp_39445567
3,3,20210917.0,Doyen and sri durga devlopers,Landmark Residency,1,Semi-Furnished,23000.0,Apartment,Owner,domcache_srp_56730731
3,3,20210916.0,R V Nirmaan Pvt. Ltd.,RV Avaneendra,2,Semi-Furnished,22000.0,Apartment,Owner,domcache_srp_56720023
2,3,20210918.0,,Devi Homes,4,Unfurnished,13000.0,Apartment,Owner,domcache_srp_56977811
3,3,20210918.0,,,3,Semi-Furnished,30000.0,Apartment,Agent,domcache_srp_56023961
2,2,20210917.0,,,3,Unfurnished,10000.0,Builder Floor Apartment,Owner,domcache_srp_56763855
2,1,20210916.0,,,2,Unfurnished,12000.0,Residential House,Owner,domcache_srp_54695993
2,2,20210917.0,,,3,Unfurnished,13000.0,Apartment,Owner,domcache_srp_55114539
3,3,20210919.0,,,9,Semi-Furnished,34500.0,Apartment,Owner,domcache_srp_56503343
2,2,20210913.0,,Poojitha Enclave,1,Unfurnished,13000.0,Apartment,Owner,domcache_srp_56454849
3,3,20210915.0,Crown Constructions and Aryamitra Properties,Whistling Woods,2,Unfurnished,30000.0,Apartment,Owner,domcache_srp_56299451
1,1,20210914.0,,,1,Unfurnished,8500.0,Residential House,Owner,domcache_srp_56607791
3,3,20210919.0,,,1,Semi-Furnished,16000.0,Apartment,Owner,domcache_srp_56570753
3,3,20210918.0,,,3,Semi-Furnished,28000.0,Apartment,Owner,domcache_srp_54175341
2,2,20210915.0,,,Ground,Unfurnished,12000.0,Residential House,Owner,domcache_srp_55918429
2,2,20210918.0,,,2,Unfurnished,17000.0,Residential House,Owner,domcache_srp_55503475
4,5,20210919.0,,,Ground,Semi-Furnished,60000.0,Residential House,Owner,domcache_srp_35460437
3,3,20210919.0,Trendset Builders,Trendset Daffodils,2,Semi-Furnished,29000.0,Apartment,Owner,domcache_srp_55752147
3,3,20210916.0,,,4,Semi-Furnished,19000.0,Builder Floor Apartment,Owner,domcache_srp_34882835
9,9,20210918.0,,,3,Semi-Furnished,180000.0,Builder Floor Apartment,Agent,domcache_srp_57020353
3,3,20210917.0,Modi Builders,Modi Emerald Park Phase 1,Ground,Furnished,15000.0,Apartment,Owner,domcache_srp_53232077
3,4,20210915.0,,,1,Semi-Furnished,60000.0,Apartment,Owner,domcache_srp_45649261
3,3,20210919.0,Rajapushpa Properties Pvt. Ltd.,Rajapushpa Regalia,16,Semi-Furnished,43000.0,Apartment,Owner,domcache_srp_56940873
2,2,20210913.0,Hare Ram Residency,Hare Ram Residency,1,Semi-Furnished,13000.0,Apartment,Owner,domcache_srp_56164077
2,2,20210913.0,,,Ground,Unfurnished,15000.0,Builder Floor Apartment,Owner,domcache_srp_56740827
6,4,20210917.0,,,2,Unfurnished,150000.0,Apartment,Agent,domcache_srp_56774619
3,3,20210913.0,,,6,Unfurnished,40000.0,Penthouse,Owner,domcache_srp_56962561
2,2,20210910.0,,,Ground,Unfurnished,10000.0,Residential House,Owner,domcache_srp_56947377
3,3,20210919.0,,,1,Semi-Furnished,21000.0,Apartment,Owner,domcache_srp_56431329
3,3,20210918.0,,,5,Semi-Furnished,25000.0,Builder Floor Apartment,Owner,domcache_srp_43743411
5,4,20210918.0,M/s Jayabheri Properties Pvt. Ltd.,Jayabheri Orange Towers,9,Semi-Furnished,65000.0,Apartment,Agent,domcache_srp_55716031
3,3,20210918.0,Indis,PBEL City,5,Semi-Furnished,26000.0,Apartment,Agent,domcache_srp_56558041
3,3,20210919.0,Trendset Builders,Trendset Winz,4,Furnished,80000.0,Apartment,Agent,domcache_srp_55525155
2,2,20210918.0,,,4,Semi-Furnished,30000.0,Apartment,Agent,domcache_srp_56970067
3,3,20210906.0,,,1,Semi-Furnished,25000.0,Residential House,Owner,domcache_srp_55924579
3,3,20210906.0,,,,Unfurnished,15000.0,Villa,Owner,domcache_srp_56854241
3,3,20210828.0,Manjeera Construction,Manjeera Diamond Towers,7,Semi-Furnished,24000.0,Apartment,Owner,domcache_srp_56719675
3,3,20210830.0,Rasun Ace Infra Pvt. Ltd.,Elysian,9,Semi-Furnished,35000.0,Apartment,Owner,domcache_srp_56743519
2,3,20210820.0,,,22,Semi-Furnished,32000.0,Apartment,Owner,domcache_srp_56572451
2,2,20210902.0,,,2,Semi-Furnished,8000.0,Apartment,Owner,domcache_srp_56792629
1,1,20210831.0,Royal Build India Developers Pvt. Ltd.,Purushottam Residency,1,Semi-Furnished,3900.0,Residential House,Owner,domcache_srp_55851683
1,1,20210909.0,,,1,Unfurnished,12000.0,Apartment,Owner,domcache_srp_56808059
2,2,20210821.0,,,3,Furnished,16500.0,Apartment,Owner,domcache_srp_56582675
2,2,20210901.0,,,Ground,Furnished,20000.0,Residential House,Owner,domcache_srp_56724589
4,4,20210817.0,,,,Semi-Furnished,20000.0,Villa,Owner,domcache_srp_56522731
1,1,20210905.0,,,1,Unfurnished,5000.0,Builder Floor Apartment,Owner,domcache_srp_56800595
4,4,20210825.0,,,1,Unfurnished,12000.0,Residential House,Owner,domcache_srp_29845559
3,3,20210830.0,,,3,Unfurnished,43500.0,Apartment,Owner,domcache_srp_56561663
3,3,20210905.0,,,1,Furnished,16000.0,Apartment,Owner,domcache_srp_55703277
1,1,20210820.0,,,,Unfurnished,10000.0,Residential House,Owner,domcache_srp_56288269
2,2,20210814.0,,,3,Semi-Furnished,17000.0,Apartment,Owner,domcache_srp_56386337
2,2,20210912.0,,,3,Semi-Furnished,18000.0,Apartment,Owner,domcache_srp_48578545
2,2,20210906.0,,,Ground,Semi-Furnished,9000.0,Residential House,Owner,domcache_srp_56433329
2,2,20210917.0,,,1,Unfurnished,14000.0,Apartment,Owner,domcache_srp_52856125
4,4,20210728.0,,,Lower Basement,Furnished,200000.0,Service Apartment,Owner,domcache_srp_30339457
2,3,20210812.0,,,3,Semi-Furnished,15000.0,Apartment,Owner,domcache_srp_56434939
1,1,20210803.0,,,3,Unfurnished,6000.0,Residential House,Owner,domcache_srp_54362743
2,2,20210818.0,,,Ground,Unfurnished,8500.0,Residential House,Owner,domcache_srp_55322765
3,3,20210905.0,,,3,Furnished,65000.0,Apartment,Owner,domcache_srp_56864587
2,2,20210902.0,,,1,Unfurnished,11000.0,Apartment,Owner,domcache_srp_56081017
2,2,20210913.0,,,Ground,Unfurnished,12000.0,Builder Floor Apartment,Owner,domcache_srp_56940227
2,2,20210725.0,,,2,Furnished,70000.0,Apartment,Owner,domcache_srp_56118519
1,1,20210907.0,,,,Semi-Furnished,8500.0,Villa,Owner,domcache_srp_56893291
3,3,20210903.0,,,1,Unfurnished,28000.0,Apartment,Owner,domcache_srp_39203907
2,2,20210823.0,,,2,Semi-Furnished,10000.0,Apartment,Owner,domcache_srp_56493109
2,2,20210725.0,,,,Semi-Furnished,55000.0,Apartment,Owner,domcache_srp_56118083
2,2,20210822.0,,,3,Unfurnished,14000.0,Apartment,Owner,domcache_srp_56487057
2,3,20210830.0,,,6,Furnished,32000.0,Penthouse,Owner,domcache_srp_56718021
3,3,20210826.0,ACE Construction Company,ACE Atlantis,2,Semi-Furnished,45000.0,Apartment,Owner,domcache_srp_55821993
2,2,20210914.0,,,1,Unfurnished,25000.0,Residential House,Owner,domcache_srp_56706543
2,3,20210828.0,,,2,Semi-Furnished,22000.0,Apartment,Owner,domcache_srp_14480117
2,2,20210822.0,,,1,Semi-Furnished,12000.0,Apartment,Owner,domcache_srp_56599567
2,3,20210915.0,AU Constructions,Sri Venkateswara Residency,2,Unfurnished,13000.0,Apartment,Owner,domcache_srp_56719943
> 10,> 10,20210910.0,,,4,Unfurnished,300000.0,Apartment,Owner,domcache_srp_56406195
3,3,20210918.0,,,4,Unfurnished,18000.0,Apartment,Owner,domcache_srp_56587201
2,3,20210914.0,,,1,Semi-Furnished,28000.0,Residential House,Owner,domcache_srp_56776353
3,3,20210904.0,Sri Sai Ram Projects Ltd.,SRI SAIRAM Towers,10,Semi-Furnished,30000.0,Apartment,Owner,domcache_srp_56734507
3,3,20210828.0,,,1,Semi-Furnished,22000.0,Residential House,Owner,domcache_srp_56589711
2,2,20210819.0,,,2,Unfurnished,12000.0,Residential House,Owner,domcache_srp_56538199
2,2,20210911.0,,,4,Furnished,25000.0,Apartment,Owner,domcache_srp_56175911
3,3,20210905.0,,,2,Semi-Furnished,26000.0,Apartment,Owner,domcache_srp_54483313
2,3,20210902.0,,,1,Semi-Furnished,20000.0,Residential House,Owner,domcache_srp_56807835
3,3,20210827.0,,,3,Semi-Furnished,26000.0,Builder Floor Apartment,Owner,domcache_srp_49367149
4,3,20210726.0,Elegant Infratech Builders,Floatilla,4,Semi-Furnished,65000.0,Apartment,Owner,domcache_srp_55220243
4,5,20210919.0,,,1,Furnished,350000.0,Residential House,Agent,domcache_srp_56849067
3,3,20210919.0,,Movie Towers,7,Semi-Furnished,50000.0,Apartment,Agent,domcache_srp_55627519
1,2,20210829.0,,,2,Unfurnished,16000.0,Residential House,Owner,domcache_srp_55675461
3,3,20210821.0,Modi Builders & Realtors Pvt Ltd,Modi Golden Palms Annexe,,Semi-Furnished,17000.0,Residential House,Owner,domcache_srp_21342271
2,2,20210824.0,,,1,Semi-Furnished,18000.0,Residential House,Owner,domcache_srp_56229121
3,3,20210912.0,,,2,Furnished,29000.0,Apartment,Owner,domcache_srp_56924055
2,2,20210916.0,,,1,Unfurnished,21000.0,Apartment,Owner,domcache_srp_56775357
2,2,20210909.0,,YS Residency,2,Unfurnished,8000.0,Apartment,Owner,domcache_srp_46947899
2,2,20210909.0,,,1,Unfurnished,15000.0,Apartment,Owner,domcache_srp_55907079
2,3,20210908.0,,,1,Unfurnished,18500.0,Apartment,Owner,domcache_srp_56771673
2,2,20210913.0,,,3,Semi-Furnished,20000.0,Apartment,Owner,domcache_srp_56640161
2,2,20210721.0,,,1,Semi-Furnished,14000.0,Apartment,Owner,domcache_srp_35393227
3,4,20210904.0,,,2,Semi-Furnished,50000.0,Apartment,Owner,domcache_srp_54016613
2,3,20210826.0,Aparna Constructions and Estates Pvt. Ltd.,Aparna Hill park Silver oaks,14,Furnished,26000.0,Apartment,Owner,domcache_srp_54647701
3,3,20210901.0,,,2,Semi-Furnished,25000.0,Builder Floor Apartment,Owner,domcache_srp_56738539
2,2,20210915.0,,,1,Unfurnished,10000.0,Apartment,Owner,domcache_srp_32795151
3,3,20210822.0,,,4,Semi-Furnished,36000.0,Apartment,Owner,domcache_srp_55550041
3,3,20210915.0,Safeway Infra Builders,Symphony Parkhomes,,Semi-Furnished,20000.0,Villa,Owner,domcache_srp_56595049
2,2,20210904.0,,,2,Semi-Furnished,17000.0,Residential House,Owner,domcache_srp_55608115
3,3,20210904.0,,,5,Semi-Furnished,25000.0,Apartment,Owner,domcache_srp_50013682
2,3,20210904.0,Sree Sai Ram Constructions,Vinay City,2,Semi-Furnished,16000.0,Apartment,Owner,domcache_srp_56835507
2,2,20210825.0,Sanskaar Builders & Developers,Sanskruti Singapore Township,4,Unfurnished,11000.0,Apartment,Owner,domcache_srp_56618977
3,3,20210823.0,,,1,Furnished,17000.0,Apartment,Owner,domcache_srp_56621273
2,2,20210824.0,,,1,Unfurnished,17000.0,Residential House,Owner,domcache_srp_55288633
4,3,20210828.0,,,5,Unfurnished,44000.0,Apartment,Owner,domcache_srp_56699041
2,3,20210825.0,,,2,Unfurnished,20000.0,Apartment,Owner,domcache_srp_56565973
2,3,20210903.0,,Mantri Cosmos ,8,Furnished,35000.0,Apartment,Owner,domcache_srp_56299565
4,3,20210905.0,Alekhya Homes,Temple Trees,5,Unfurnished,51000.0,Apartment,Owner,domcache_srp_50705798
2,2,20210914.0,,,1,Semi-Furnished,18000.0,Apartment,Owner,domcache_srp_56838991
2,2,20210912.0,,,Ground,Unfurnished,9500.0,Residential House,Owner,domcache_srp_53985795
2,3,20210831.0,,,Ground,Semi-Furnished,40000.0,Residential House,Owner,domcache_srp_56645721
2,3,20210902.0,Sai Construction,Madhulika Apartments,2,Semi-Furnished,18000.0,Apartment,Owner,domcache_srp_56666669
2,2,20210908.0,,,2,Unfurnished,12500.0,Apartment,Owner,domcache_srp_56719355
3,3,20210902.0,,,1,Semi-Furnished,32000.0,Apartment,Owner,domcache_srp_54410357
2,4,20210902.0,,,1,Semi-Furnished,19000.0,Builder Floor Apartment,Owner,domcache_srp_55773641
3,3,20210906.0,,Movie Towers,7,Semi-Furnished,50000.0,Apartment,Owner,domcache_srp_54866583
3,3,20210904.0,Modi Builders,Modi Emerald Heights,3,Furnished,12500.0,Apartment,Owner,domcache_srp_47319211
1,1,20210918.0,,,Ground,Unfurnished,6800.0,Residential House,Owner,domcache_srp_44110051
2,3,20210827.0,,,4,Semi-Furnished,18500.0,Apartment,Owner,domcache_srp_56703279
3,3,20210905.0,,,Ground,Semi-Furnished,20000.0,Residential House,Owner,domcache_srp_55810565
2,2,20210908.0,Aditya Developers,Aditya Jala Krishna,1,Furnished,21000.0,Apartment,Owner,domcache_srp_53236861
2,2,20210905.0,,BEMMAC Housing Society,Ground,Semi-Furnished,11000.0,Residential House,Owner,domcache_srp_56863399
2,2,20210915.0,,,2,Unfurnished,11000.0,Apartment,Owner,domcache_srp_51118388
2,3,20210906.0,,,4,Semi-Furnished,24000.0,Apartment,Owner,domcache_srp_56226695
2,2,20210911.0,,,Lower Basement,Semi-Furnished,11000.0,Residential House,Owner,domcache_srp_56441111
2,3,20210905.0,,,5,Semi-Furnished,25000.0,Apartment,Owner,domcache_srp_55727489
1,1,20210916.0,,,1,Unfurnished,15000.0,Apartment,Owner,domcache_srp_55909341
2,3,20210831.0,,,Ground,Unfurnished,23000.0,Apartment,Owner,domcache_srp_56517473
2,3,20210828.0,,,1,Semi-Furnished,17000.0,Apartment,Owner,domcache_srp_56605883
2,2,20210915.0,Aparna Constructions and Estates Pvt. Ltd.,Aparna Hill park Silver oaks,7,Semi-Furnished,26000.0,Apartment,Owner,domcache_srp_56507017
3,3,20210908.0,,,5,Semi-Furnished,26000.0,Apartment,Owner,domcache_srp_56536513
2,2,20210904.0,,,2,Unfurnished,19000.0,Residential House,Owner,domcache_srp_41480719
3,2,20210831.0,Mantri Developers Pvt. Ltd.,Mantri Celestia,16,Semi-Furnished,36000.0,Apartment,Owner,domcache_srp_55822741
2,2,20210806.0,Mantri Developers Pvt. Ltd.,Mantri Celestia,3,Semi-Furnished,21000.0,Apartment,Owner,domcache_srp_56334629
2,3,20210911.0,,,4,Semi-Furnished,22000.0,Apartment,Owner,domcache_srp_33139119
2,3,20210906.0,,,4,Semi-Furnished,20000.0,Apartment,Owner,domcache_srp_48894211
2,3,20210907.0,Pruthvi Adithya Infratech Pvt. Ltd.,Raintree Abode,2,Semi-Furnished,25000.0,Apartment,Owner,domcache_srp_43310261
2,2,20210910.0,,,2,Unfurnished,15000.0,Apartment,Owner,domcache_srp_56673035
3,3,20210902.0,,Movie Towers,3,Semi-Furnished,35000.0,Apartment,Owner,domcache_srp_55320585
2,3,20210824.0,,,2,Semi-Furnished,25000.0,Apartment,Owner,domcache_srp_52221637
2,2,20210902.0,,,1,Unfurnished,12000.0,Residential House,Owner,domcache_srp_56457803
3,3,20210831.0,,,2,Unfurnished,16000.0,Apartment,Owner,domcache_srp_56733079
3,3,20210916.0,Sri Sai Mourya Estates & Projects Pvt. Ltd.,Sri Sai Mourya Magadha Village,1,Unfurnished,37500.0,Residential House,Owner,domcache_srp_56836327
3,3,20210911.0,,,3,Semi-Furnished,18000.0,Apartment,Owner,domcache_srp_55236385
3,3,20210911.0,,,1,Semi-Furnished,18000.0,Apartment,Owner,domcache_srp_56922135
3,3,20210908.0,,,8,Furnished,50000.0,Apartment,Owner,domcache_srp_35867271
2,2,20210908.0,,,1,Unfurnished,13000.0,Apartment,Owner,domcache_srp_54732207
2,2,20210908.0,,,3,Semi-Furnished,9500.0,Apartment,Owner,domcache_srp_56891883
2,2,20210905.0,Vasathi Housing,Vasathi Navya,5,Furnished,16000.0,Apartment,Owner,domcache_srp_56853107
2,2,20210906.0,Sai Sandeep Infra Projects,Sai Sandeep LR East Oak,4,Furnished,17500.0,Apartment,Owner,domcache_srp_56341389
1,2,20210909.0,,,1,Semi-Furnished,10000.0,Residential House,Owner,domcache_srp_41364481
3,3,20210908.0,,,3,Semi-Furnished,20000.0,Apartment,Owner,domcache_srp_56679431
2,2,20210906.0,,,,Unfurnished,20000.0,Residential House,Owner,domcache_srp_56853913
2,3,20210906.0,,,1,Furnished,28000.0,Apartment,Owner,domcache_srp_56343767
3,3,20210907.0,Vajra Group,Vajras Sree Nivasam,5,Semi-Furnished,25000.0,Apartment,Owner,domcache_srp_52804921
3,3,20210904.0,Vajra Group,Vajras Jasmine County,1,Semi-Furnished,45000.0,Apartment,Owner,domcache_srp_56113089
3,3,20210913.0,Aditya Developers,Aditya Green Fields,1,Unfurnished,30000.0,Apartment,Owner,domcache_srp_20956076
3,3,20210911.0,,,12,Semi-Furnished,37000.0,Apartment,Owner,domcache_srp_56876359
2,2,20210916.0,,,,Unfurnished,18000.0,Villa,Owner,domcache_srp_55565035
3,3,20210915.0,,CBR Krishnaveni Estates,1,Semi-Furnished,20000.0,Residential House,Owner,domcache_srp_47964435
3,3,20210903.0,Madhu Infrastructure Pvt. Ltd.,Madhu Park Ridge,2,Semi-Furnished,25000.0,Apartment,Owner,domcache_srp_56525305
3,3,20210817.0,Sri Sri Gruhanirman India Pvt. Ltd.,Sri Sri Aero City,3,Unfurnished,11000.0,Apartment,Owner,domcache_srp_54385311
3,3,20210901.0,,Mourya Marvel,2,Furnished,24000.0,Apartment,Owner,domcache_srp_56341479
2,2,20210829.0,,,1,Furnished,27000.0,Apartment,Owner,domcache_srp_55681571
3,3,20210904.0,Modi Builders,Modi Emerald Heights,3,Furnished,12000.0,Apartment,Owner,domcache_srp_50335656
3,2,20210831.0,,,2,Unfurnished,13000.0,Residential House,Owner,domcache_srp_56625591
2,2,20210823.0,,,2,Semi-Furnished,17000.0,Builder Floor Apartment,Owner,domcache_srp_56577749
2,2,20210831.0,,,3,Unfurnished,10000.0,Apartment,Owner,domcache_srp_55405591
3,3,20210831.0,Fortune Group Builders And Developers,Essjay Fortune,5,Unfurnished,50000.0,Apartment,Owner,domcache_srp_56421021
3,3,20210912.0,,,2,Semi-Furnished,20000.0,Apartment,Owner,domcache_srp_56139257
3,3,20210907.0,Legend Estates Pvt. Ltd.,Legend Nirvana,3,Semi-Furnished,25000.0,Apartment,Owner,domcache_srp_56505141
3,3,20210918.0,,,2,Unfurnished,13000.0,Apartment,Owner,domcache_srp_56724867
3,3,20210907.0,,,5,Semi-Furnished,24000.0,Apartment,Owner,domcache_srp_56670817
2,2,20210906.0,,,1,Semi-Furnished,12000.0,Apartment,Owner,domcache_srp_56443147
3,3,20210911.0,,,4,Semi-Furnished,45000.0,Apartment,Owner,domcache_srp_16474005
