prop_id,area_sqft
48930897,1100.0
57083523,2000.0
57071547,1890.0
56793769,3800.0
54630391,1860.0
55683219,4300.0
56498743,1835.0
55715405,2800.0
53849419,1310.0
56051149,1400.0
57031233,1410.0
53468361,1198.0
46503971,900.0
56969627,1000.0
57033051,1400.0
56585031,1550.0
57072355,1840.0
57080653,1150.0
57011105,787.0
57083809,
57087771,1500.0
57037109,2160.0
56988121,900.0
55884259,1750.0
57020727,1175.0
57021743,1853.0
56995675,1100.0
57033049,990.0
57023169,1841.0
57037373,1040.0
57030399,1500.0
57053881,2400.0
35526399,1250.0
42849167,1000.0
56937847,1512.0
56840561,1945.0
55567249,3762.0
52780805,1800.0
56922987,1575.0
56567643,1730.0
56238575,1560.0
53304761,1800.0
55725009,1562.0
56981809,1000.0
55959117,1100.0
48973689,650.0
56048159,1850.0
56769677,1550.0
41439341,2000.0
10082727,1250.0
56480251,2000.0
56474007,1683.0
57062773,100.0
54966921,1898.0
56197667,1000.0
45828791,1200.0
54863089,1850.0
48649339,1600.0
55984883,1650.0
55749491,1560.0
56991281,1100.0
39445567,1100.0
56730731,2000.0
56720023,1575.0
56977811,1287.0
56023961,1380.0
34882835,1700.0
53232077,1360.0
45649261,2200.0
56940873,1960.0
56164077,1075.0
56740827,1400.0
56962561,2300.0
56947377,150.0
55716031,3310.0
56558041,1750.0
55525155,3015.0
55924579,2000.0
56854241,1600.0
56719675,1800.0
56743519,2000.0
56572451,1492.0
56792629,1300.0
55851683,300.0
56808059,655.0
56582675,940.0
56724589,1000.0
56522731,1500.0
56800595,500.0
29845559,2350.0
56561663,2150.0
55703277,1465.0
56288269,1500.0
56386337,1350.0
48578545,850.0
56433329,1500.0
52856125,1100.0
30339457,4600.0
56434939,1300.0
54362743,300.0
55322765,1400.0
56864587,2730.0
56081017,1040.0
56940227,1000.0
56118519,1250.0
56893291,750.0
39203907,1580.0
56493109,1400.0
56118083,1249.0
56487057,870.0
56718021,1550.0
55821993,2350.0
56706543,1500.0
14480117,1500.0
56599567,1250.0
56719943,1207.0
56587201,1500.0
56734507,2450.0
56589711,2000.0
56538199,1000.0
56175911,960.0
56807835,1100.0
55220243,3260.0
56849067,9000.0
55627519,3000.0
21342271,1500.0
56229121,1500.0
56924055,1960.0
46947899,1100.0
55907079,1180.0
56771673,1500.0
56640161,1300.0
35393227,1189.0
54016613,2200.0
54647701,1500.0
56738539,2000.0
55550041,1825.0
56595049,2030.0
55608115,1600.0
50013682,1500.0
56835507,1365.0
56618977,1136.0
56621273,1650.0
55288633,1600.0
56699041,2800.0
56565973,1550.0
56299565,1198.0
54866583,3000.0
47319211,1360.0
44110051,300.0
56703279,1500.0
55810565,2200.0
53236861,1100.0
56863399,1620.0
51118388,1100.0
56226695,1460.0
56441111,1200.0
56517473,1650.0
56605883,1425.0
56536513,1775.0
41480719,900.0
55822741,350.0
56334629,980.0
56457803,1300.0
56733079,1700.0
56922135,1750.0
35867271,1953.0
54732207,1170.0
56891883,1300.0
56853107,1000.0
56341389,1205.0
41364481,1200.0
56679431,1870.0
56853913,1400.0
56343767,1565.0
52804921,1735.0
56113089,2100.0
56525305,2200.0
54385311,1415.0
56341479,1600.0
55681571,1100.0
50335656,1360.0
56625591,1200.0
56577749,700.0
55405591,1150.0
56421021,1815.0
16474005,2410.0
50598032,1781.0
18028941,270.0
56095945,1250.0
55763227,
56982803,1300.0
52564335,1299.0
55221691,1750.0
56536931,1600.0
56156243,1865.0
56837745,2400.0
56369313,1570.0
37950615,2400.0
57076679,1500.0
53437243,2000.0
55796719,2100.0
47794407,2160.0
56686009,900.0
56500081,1120.0
55392939,1350.0
56041441,2800.0
56957457,1180.0
56803493,700.0
56981769,2650.0
54641931,2057.0
57023515,1600.0
56639549,980.0
50149040,1000.0
31245071,1610.0
34488537,1500.0
56709719,1725.0
56513349,2160.0
55968499,995.0
56461657,1400.0
47976561,1000.0
55924635,1050.0
56393541,1150.0
56896733,900.0
22896775,1300.0
56462427,1100.0
56146169,1000.0
57032991,900.0
55247175,1190.0
54822667,1100.0
57040007,1300.0
29159501,1495.0
49320107,1500.0
55440341,3400.0
54342597,950.0
57041599,1000.0
55053345,1250.0
55706459,1050.0
56589339,1600.0
17148941,1534.0
56078953,1200.0
56958397,1300.0
55231487,1800.0
52740747,1540.0
55405535,1600.0
56853097,1270.0
50312656,5100.0
56349187,1800.0
49129749,4800.0
56423219,2160.0
55621637,1873.0
56034889,1990.0
56377083,1000.0
49108971,2315.0
55763711,1870.0
56860203,1100.0
56868945,
55870853,2200.0
56861313,1300.0
47589481,1950.0
51520392,1200.0
55506239,2650.0
56640531,1170.0
27963043,2085.0
56704453,1685.0
38053123,3000.0
40325411,1034.0
53611611,2100.0
54979607,800.0
56003945,167.0
55581125,2160.0
55779843,200.0
56109161,1200.0
43240285,2500.0
56447571,1375.0
55269785,1470.0
54537679,2135.0
54986887,2230.0
20624680,1579.0
55252855,1200.0
56037767,1200.0
56009007,1700.0
56256427,3000.0
55839447,1500.0
27428165,1400.0
37474061,300.0
55058373,1300.0
56449741,1400.0
54036145,1100.0
56512153,1245.0
53587295,
56218471,1250.0
53090373,2020.0
38692297,1034.0
55235483,1100.0
55822323,3380.0
53671267,2010.0
56378185,800.0
56278509,2607.0
52452671,2060.0
50087038,1600.0
55763761,950.0
36000641,1032.0
56889379,900.0
56880367,850.0
56873969,3170.0
53973841,1642.0
53136263,
56910271,580.0
56845407,1200.0
39203853,1900.0
56743283,1345.0
55503691,900.0
56566357,1400.0
29918573,2035.0
36424487,2500.0
55744187,1300.0
49963140,1500.0
45551253,1100.0
50554664,1940.0
56588421,100.0
56661835,125.0
40240803,1500.0
56737373,1800.0
48897633,170.0
56525233,1150.0
53846251,900.0
29896551,1069.0
56530537,2100.0
50515458,1350.0
56011827,1500.0
45745679,1500.0
51315140,1100.0
52859483,1950.0
56619067,1310.0
56583105,1675.0
53243893,2795.0
55925205,1150.0
55753407,1150.0
56543309,1550.0
56643053,1245.0
56705233,770.0
56763211,1510.0
56037103,950.0
48442243,1400.0
53158009,2000.0
56544903,1200.0
56544397,1250.0
55428295,1450.0
55856037,1125.0
56809457,1750.0
56768469,1620.0
56662197,1050.0
56716095,1149.0
